Data,População
1952-01-01,156309.0
1952-02-01,156527.0
1952-03-01,156731.0
1952-04-01,156943.0
1952-05-01,157140.0
1952-06-01,157343.0
1952-07-01,157553.0
1952-08-01,157798.0
1952-09-01,158053.0
1952-10-01,158306.0
1952-11-01,158451.0
1952-12-01,158757.0
1953-01-01,158973.0
1953-02-01,159170.0
1953-03-01,159349.0
1953-04-01,159556.0
1953-05-01,159745.0
1953-06-01,159956.0
1953-07-01,160184.0
1953-08-01,160449.0
1953-09-01,160718.0
1953-10-01,160978.0
1953-11-01,161223.0
1953-12-01,161453.0
1954-01-01,161690.0
1954-02-01,161912.0
1954-03-01,162124.0
1954-04-01,162350.0
1954-05-01,162564.0
1954-06-01,162790.0
1954-07-01,163026.0
1954-08-01,163290.0
1954-09-01,163570.0
1954-10-01,163847.0
1954-11-01,164107.0
1954-12-01,164349.0
1955-01-01,164588.0
1955-02-01,164809.0
1955-03-01,165018.0
1955-04-01,165251.0
1955-05-01,165463.0
1955-06-01,165695.0
1955-07-01,165931.0
1955-08-01,166192.0
1955-09-01,166473.0
1955-10-01,166755.0
1955-11-01,167023.0
1955-12-01,167270.0
1956-01-01,167513.0
1956-02-01,167746.0
1956-03-01,167977.0
1956-04-01,168221.0
1956-05-01,168436.0
1956-06-01,168659.0
1956-07-01,168903.0
1956-08-01,169191.0
1956-09-01,169488.0
1956-10-01,169780.0
1956-11-01,170063.0
1956-12-01,170315.0
1957-01-01,170571.0
1957-02-01,170806.0
1957-03-01,171029.0
1957-04-01,171271.0
1957-05-01,171501.0
1957-06-01,171741.0
1957-07-01,171984.0
1957-08-01,172257.0
1957-09-01,172538.0
1957-10-01,172816.0
1957-11-01,173070.0
1957-12-01,173298.0
1958-01-01,173533.0
1958-02-01,173746.0
1958-03-01,173945.0
1958-04-01,174176.0
1958-05-01,174397.0
1958-06-01,174639.0
1958-07-01,174882.0
1958-08-01,175143.0
1958-09-01,175413.0
1958-10-01,175697.0
1958-11-01,175966.0
1958-12-01,176207.0
1959-01-01,176447.0
1959-02-01,176685.0
1959-03-01,176905.0
1959-04-01,177146.0
1959-05-01,177365.0
1959-06-01,177591.0
1959-07-01,177830.0
1959-08-01,178101.0
1959-09-01,178376.0
1959-10-01,178657.0
1959-11-01,178921.0
1959-12-01,179153.0
1960-01-01,179386.0
1960-02-01,179597.0
1960-03-01,179788.0
1960-04-01,180007.0
1960-05-01,180222.0
1960-06-01,180444.0
1960-07-01,180671.0
1960-08-01,180945.0
1960-09-01,181238.0
1960-10-01,181528.0
1960-11-01,181796.0
1960-12-01,182042.0
1961-01-01,182287.0
1961-02-01,182520.0
1961-03-01,182742.0
1961-04-01,182992.0
1961-05-01,183217.0
1961-06-01,183452.0
1961-07-01,183691.0
1961-08-01,183958.0
1961-09-01,184243.0
1961-10-01,184524.0
1961-11-01,184783.0
1961-12-01,185016.0
1962-01-01,185242.0
1962-02-01,185452.0
1962-03-01,185650.0
1962-04-01,185874.0
1962-05-01,186087.0
1962-06-01,186314.0
1962-07-01,186538.0
1962-08-01,186790.0
1962-09-01,187058.0
1962-10-01,187323.0
1962-11-01,187574.0
1962-12-01,187796.0
1963-01-01,188013.0
1963-02-01,188213.0
1963-03-01,188387.0
1963-04-01,188580.0
1963-05-01,188790.0
1963-06-01,189018.0
1963-07-01,189242.0
1963-08-01,189496.0
1963-09-01,189761.0
1963-10-01,190028.0
1963-11-01,190265.0
1963-12-01,190472.0
1964-01-01,190668.0
1964-02-01,190858.0
1964-03-01,191047.0
1964-04-01,191245.0
1964-05-01,191447.0
1964-06-01,191666.0
1964-07-01,191889.0
