Data,Temperatura
1961-01-01,26.88
1961-02-01,25.44
1961-03-01,26.0
1961-04-01,25.85
1961-05-01,26.08
1961-06-01,25.71
1961-07-01,25.26
1961-08-01,25.16
1961-09-01,25.51
1961-10-01,25.94
1961-11-01,26.33
1961-12-01,26.53
1962-01-01,26.73
1962-02-01,26.81
1962-03-01,25.94
1962-04-01,25.75
1962-05-01,26.13
1962-06-01,25.84
1962-07-01,25.73
1962-08-01,25.56
1962-09-01,25.68
1962-10-01,26.35
1962-11-01,26.59
1962-12-01,27.12
1963-12-01,26.89
1964-01-01,26.68
1964-02-01,26.26
1964-03-01,26.27
1964-04-01,25.88
1964-05-01,26.02
1964-06-01,25.82
1964-07-01,25.26
1964-08-01,25.64
1964-09-01,25.27
1964-10-01,26.18
1964-11-01,26.55
1964-12-01,26.75
1965-01-01,26.17
1965-02-01,27.28
1965-03-01,26.75
1965-04-01,25.46
1965-05-01,25.74
1965-06-01,25.07
1965-07-01,25.07
1965-08-01,25.26
1965-09-01,25.69
1965-10-01,26.45
1965-11-01,26.7
1965-12-01,27.22
1966-01-01,27.58
1966-02-01,27.25
1966-03-01,26.9
1966-04-01,26.38
1966-05-01,26.26
1966-06-01,25.7
1966-07-01,25.26
1966-08-01,25.6
1966-09-01,25.92
1966-10-01,26.8
1966-11-01,27.06
1966-12-01,27.78
1967-01-01,27.77
1967-02-01,25.94
1967-03-01,25.37
1967-04-01,25.32
1967-05-01,25.62
1967-06-01,25.21
1967-07-01,24.78
1967-08-01,25.06
1967-09-01,25.78
1967-10-01,26.27
1967-11-01,26.25
1967-12-01,26.45
1968-01-01,26.73
1968-02-01,26.25
1968-03-01,25.08
1968-04-01,25.58
1968-05-01,25.09
1968-06-01,25.32
1968-07-01,25.16
1968-08-01,25.97
1968-09-01,26.54
1968-10-01,27.1
1968-11-01,27.38
1968-12-01,27.3
1969-01-01,27.2
1969-02-01,27.72
1969-03-01,26.72
1969-04-01,26.45
1969-05-01,26.51
1969-06-01,25.84
1969-07-01,25.42
1969-08-01,25.58
1969-09-01,26.18
1969-10-01,26.71
1969-11-01,27.19
1969-12-01,27.4
1970-01-01,27.47
1970-02-01,27.39
1970-03-01,26.5
1970-04-01,26.29
1970-05-01,26.54
1970-06-01,25.95
1970-07-01,25.96
1970-08-01,26.1
1970-09-01,26.8
1970-10-01,27.04
1970-11-01,26.86
1970-12-01,27.43
1971-01-01,26.52
1971-02-01,26.54
1971-03-01,26.24
1971-04-01,26.04
1971-05-01,25.74
1971-06-01,25.44
1971-07-01,25.24
1971-08-01,25.54
1971-09-01,26.44
1971-10-01,26.74
1971-11-01,27.04
1971-12-01,27.04
1972-01-01,27.14
1972-02-01,26.94
1972-03-01,26.54
1972-04-01,26.34
1972-05-01,26.14
1972-06-01,25.74
1972-07-01,25.84
1972-08-01,26.04
1972-09-01,26.74
1972-10-01,27.34
1972-11-01,27.74
1972-12-01,28.13
1973-01-01,27.77
1973-02-01,27.3
1975-05-01,25.58
1975-06-01,25.69
1975-07-01,25.32
1975-08-01,26.25
1975-09-01,26.65
1975-10-01,27.27
1975-11-01,27.29
1975-12-01,26.48
1976-01-01,26.99
1976-02-01,25.62
1976-03-01,25.73
1976-04-01,26.04
1976-05-01,26.35
1976-06-01,25.71
1976-07-01,25.66
1976-08-01,26.06
1976-09-01,26.36
1976-10-01,26.55
1976-11-01,26.85
1976-12-01,27.42
1977-01-01,26.32
1977-02-01,26.14
1977-03-01,26.23
1977-04-01,26.21
1977-05-01,26.16
1977-06-01,25.39
1977-07-01,25.19
1977-08-01,25.57
1977-09-01,26.46
1977-10-01,27.17
1977-11-01,27.67
1977-12-01,27.89
1978-01-01,27.31
1978-02-01,27.16
1978-03-01,26.44
1978-04-01,26.29
1978-05-01,26.26
1978-06-01,25.58
1978-07-01,25.53
1978-08-01,25.74
1978-09-01,26.24
1978-10-01,26.8
1978-11-01,27.15
1978-12-01,26.92
1979-01-01,27.35
1979-02-01,27.1
1979-07-01,26.16
1979-08-01,26.61
1979-09-01,26.78
1979-11-01,27.23
1979-12-01,27.69
1980-01-01,27.4
1980-02-01,26.28
1980-03-01,26.4
1980-04-01,27.55
1980-05-01,27.57
1980-06-01,26.73
1980-07-01,26.3
1980-08-01,26.79
1980-09-01,26.84
1980-10-01,27.29
1980-11-01,27.33
1980-12-01,27.38
1981-01-01,27.24
1981-04-01,27.05
1981-05-01,26.85
