Data,Punjab,Ano,Mês
2019-02-01,119.9,2019,2
2019-03-01,121.9,2019,3
2019-04-01,118.8,2019,4
2019-05-01,121.0,2019,5
2019-06-01,121.4,2019,6
2019-07-01,118.0,2019,7
2019-08-01,107.5,2019,8
2019-09-01,132.5,2019,9
2019-10-01,131.5,2019,10
2019-11-01,130.3,2019,11
2019-12-01,137.9,2019,12
2019-01-13,135.8,2019,1
2019-01-14,139.3,2019,1
2019-01-15,141.1,2019,1
2019-01-16,231.9,2019,1
2019-01-17,253.8,2019,1
2019-01-18,236.4,2019,1
2019-01-19,229.8,2019,1
2019-01-20,195.0,2019,1
2019-01-21,207.1,2019,1
2019-01-22,218.9,2019,1
2019-01-23,136.0,2019,1
2019-01-24,132.5,2019,1
2019-01-25,134.3,2019,1
2019-01-26,135.9,2019,1
2019-01-27,141.2,2019,1
2019-01-28,144.5,2019,1
2019-01-29,139.6,2019,1
2019-01-30,60.0,2019,1
2019-01-31,62.7,2019,1
2019-02-02,63.6,2019,2
2019-03-02,63.5,2019,3
2019-04-02,68.0,2019,4
2019-05-02,72.1,2019,5
2019-06-02,70.5,2019,6
2019-07-02,92.0,2019,7
2019-08-02,105.8,2019,8
2019-09-02,110.1,2019,9
2019-10-02,112.4,2019,10
2019-11-02,111.3,2019,11
2019-12-02,108.5,2019,12
2019-02-13,98.8,2019,2
2019-02-14,104.6,2019,2
2019-02-15,109.7,2019,2
2019-02-16,112.8,2019,2
2019-02-17,110.7,2019,2
2019-02-18,109.5,2019,2
2019-02-19,106.7,2019,2
2019-02-20,101.5,2019,2
2019-02-21,155.9,2019,2
2019-02-22,166.3,2019,2
2019-02-23,175.9,2019,2
2019-02-24,183.6,2019,2
2019-02-25,188.8,2019,2
2019-02-26,186.4,2019,2
2019-02-27,186.9,2019,2
2019-02-28,107.5,2019,2
2019-02-03,102.9,2019,2
2019-03-03,104.2,2019,3
2019-04-03,106.9,2019,4
2019-05-03,111.2,2019,5
2019-06-03,111.6,2019,6
2019-07-03,106.1,2019,7
2019-08-03,245.8,2019,8
2019-09-03,256.7,2019,9
2019-10-03,265.3,2019,10
2019-11-03,266.5,2019,11
2019-12-03,257.9,2019,12
2019-03-13,260.3,2019,3
2019-03-14,233.4,2019,3
2019-03-15,87.5,2019,3
2019-03-16,81.5,2019,3
2019-03-17,89.6,2019,3
2019-03-18,96.5,2019,3
